,category
0,/Likely To Engage in Politics (Conservative)
1,/Likely To Engage in Politics (Liberal)
2,/US Politics (Conservative)
3,/US Politics (Liberal)
4,/US Politics (Moderate)
5,/US Politics (Very Conservative)
6,/US Politics (Very Liberal)
