,category
0,"/UK: £20,000-£24,999"
1,"/UK: £25,000-£29,999"
2,"/UK: £30,000-£34,999"
3,"/UK: £35,000-£39,999"
4,"/UK: £40,000-£49,999"
5,"/UK: £50,000-£74,999"
6,"/UK: £75,000+"
