,selection,recommendations
0,/Gamers/Casual & Social Gamers,/Business and industry/Online/Social media
1,/Gamers/Casual & Social Gamers,/Business and industry/Online/Social media marketing
2,/Gamers/Casual & Social Gamers,/Entertainment/Games/Massively multiplayer online games
3,/Gamers/Casual & Social Gamers,/Technology/Consumer electronics/E-book readers
0,/Gamers/Casual & Social Gamers,/Business and industry/Online/Social media
1,/Gamers/Casual & Social Gamers,/Business and industry/Online/Social media marketing
2,/Gamers/Casual & Social Gamers,/Entertainment/Games/Massively multiplayer online games
3,/Gamers/Casual & Social Gamers,/Technology/Consumer electronics/E-book readers
0,/Gamers/Casual & Social Gamers,/Business and industry/Online/Social media
1,/Gamers/Casual & Social Gamers,/Business and industry/Online/Social media marketing
2,/Gamers/Casual & Social Gamers,/Entertainment/Games/Massively multiplayer online games
3,/Gamers/Casual & Social Gamers,/Technology/Consumer electronics/E-book readers
0,/Gamers/Casual & Social Gamers,/Business and industry/Online/Social media
1,/Gamers/Casual & Social Gamers,/Business and industry/Online/Social media marketing
2,/Gamers/Casual & Social Gamers,/Entertainment/Games/Massively multiplayer online games
3,/Gamers/Casual & Social Gamers,/Technology/Consumer electronics/E-book readers
0,/Gamers/Casual & Social Gamers,/Business and industry/Online/Social media
1,/Gamers/Casual & Social Gamers,/Business and industry/Online/Social media marketing
2,/Gamers/Casual & Social Gamers,/Entertainment/Games/Massively multiplayer online games
3,/Gamers/Casual & Social Gamers,/Technology/Consumer electronics/E-book readers
0,/Gamers/Casual & Social Gamers,/Business and industry/Online/Social media
1,/Gamers/Casual & Social Gamers,/Business and industry/Online/Social media marketing
2,/Gamers/Casual & Social Gamers,/Entertainment/Games/Massively multiplayer online games
3,/Gamers/Casual & Social Gamers,/Technology/Consumer electronics/E-book readers
0,/Gamers/Casual & Social Gamers,/Business and industry/Online/Social media
1,/Gamers/Casual & Social Gamers,/Business and industry/Online/Social media marketing
2,/Gamers/Casual & Social Gamers,/Entertainment/Games/Massively multiplayer online games
3,/Gamers/Casual & Social Gamers,/Technology/Consumer electronics/E-book readers
0,/Gamers/Casual & Social Gamers,/Business and industry/Online/Social media
1,/Gamers/Casual & Social Gamers,/Business and industry/Online/Social media marketing
2,/Gamers/Casual & Social Gamers,/Entertainment/Games/Massively multiplayer online games
3,/Gamers/Casual & Social Gamers,/Technology/Consumer electronics/E-book readers
0,/Gamers/Casual & Social Gamers,/Business and industry/Online/Social media
1,/Gamers/Casual & Social Gamers,/Business and industry/Online/Social media marketing
2,/Gamers/Casual & Social Gamers,/Entertainment/Games/Massively multiplayer online games
3,/Gamers/Casual & Social Gamers,/Technology/Consumer electronics/E-book readers
0,/Gamers/Casual & Social Gamers,/Business and industry/Online/Social media
1,/Gamers/Casual & Social Gamers,/Business and industry/Online/Social media marketing
2,/Gamers/Casual & Social Gamers,/Entertainment/Games/Massively multiplayer online games
3,/Gamers/Casual & Social Gamers,/Technology/Consumer electronics/E-book readers
