category,/Comics & Animation Fans,/Gamers,/Gamers/Action Game Fans,/Gamers/Adventure & Strategy Game Fans,/Gamers/Casual & Social Gamers,/Gamers/Driving & Racing Game Fans,/Gamers/Hardcore Gamers,/Gamers/Roleplaying Game Fans,/Gamers/Shooter Game Fans,/Gamers/Sports Game Fans,/Green Living Enthusiasts,/Movie Lovers,/Movie Lovers/Action & Adventure Movie Fans,/Movie Lovers/Comedy Movie Fans,/Movie Lovers/Family Movie Fans,/Movie Lovers/Horror Movie Fans,/Movie Lovers/Romance & Drama Movie Fans,/Movie Lovers/Sci-Fi & Fantasy Movie Fans,/Movie Lovers/South Asian Film Fans,/Music Lovers,/Music Lovers/Blues Fans,/Music Lovers/Classical Music Enthusiasts,/Music Lovers/Country Music Fans,/Music Lovers/Electronica & Dance Music Fans,/Music Lovers/Folk & Traditional Music Enthusiasts,/Music Lovers/Indie & Alternative Rock Fans,/Music Lovers/Jazz Enthusiasts,/Music Lovers/Metalheads,/Music Lovers/Pop Music Fans,/Music Lovers/Rap & Hip Hop Fans,/Music Lovers/Rock Music Fans,/Music Lovers/Spanish-Language Music Fans,/Music Lovers/World Music Fans,/Nightlife Enthusiasts,/Outdoor Enthusiasts,/TV Lovers,/TV Lovers/Documentary & Nonfiction TV Fans,/TV Lovers/Family Television Fans,"/TV Lovers/Game, Reality & Talk Show Fans",/TV Lovers/Sci-Fi & Fantasy TV Fans,/TV Lovers/TV Comedy Fans,/TV Lovers/TV Drama Fans,/Technophiles,/Thrill Seekers
/Entertainment,0.463895523527,0.217663915594,0.261901442203,0.297194028439,0.241740559648,0.251031651456,0.260816052791,0.277187537203,0.26868833029,0.32199631382,0.186037932631,0.305711201096,0.399502146247,0.392858811477,0.322665989776,0.367435478444,0.366560296634,0.438263884717,0.362765382524,0.373845879847,0.34700245929,0.372084581538,0.394515828369,0.417977316463,0.35406336566,0.410643226894,0.356870729406,0.365127369924,0.424863147615,0.374333709857,0.408902545203,0.364515910984,0.399569902679,0.313294356328,0.259004769173,0.361150054352,0.417071380953,0.401071718836,0.405385994042,0.484645019633,0.438852054866,0.430766316659,0.0465005612402,0.278299392798
/Entertainment/Games,0.537254267259,0.374319218776,0.573382061578,0.584226284316,0.295565294561,0.55520412606,0.387371323016,0.575498996526,0.604408957754,0.654914078631,0.124405809056,0.259313219595,0.430736823472,0.375447984894,0.310978836713,0.374347153912,0.33938643905,0.444685040079,0.42157391281,0.312805380869,0.397012383269,0.325791767695,0.411592867482,0.406508408171,0.282992631645,0.362655090205,0.319921916474,0.315607791214,0.405085896421,0.360465648564,0.389054149857,0.350382265396,0.438128092329,0.271329667588,0.292350853515,0.273099009969,0.359507070706,0.344675655591,0.528519583017,0.462651069366,0.387960753113,0.384300177018,0.0534195719627,0.179902448465
/Entertainment/Games/Action games,0.502923495804,0.394166720429,0.693388534992,0.644514184285,0.30644768627,0.591654077071,0.401254248544,0.611726211296,0.65481529868,0.6754847302,0.0721245568591,0.220105704624,0.470629507334,0.334351411754,0.276095489574,0.344784079,0.307728101745,0.408169919205,0.389851276999,0.222450269045,0.330317406514,0.242544156649,0.336817849183,0.325514979804,0.198957650644,0.291793775611,0.23761119774,0.231057303475,0.316616154399,0.302828982016,0.304916060983,0.292001403854,0.372450222855,0.217362626344,0.253381778284,0.198116892263,0.289019086123,0.274256609122,0.509668899095,0.400314289574,0.317471837423,0.321045262396,0.0343577421486,0.126399506323
/Entertainment/Games/Board games,0.433172282753,0.339249273038,0.561600281215,0.567815698251,0.254054816211,0.529144239798,0.328213881042,0.55456136416,0.585306926517,0.6431383617,0.0723265191087,0.119886594503,0.309129868965,0.23193286093,0.194371157191,0.240817948638,0.19398810358,0.305501097089,0.332510765473,0.183556500236,0.286357910557,0.21538789003,0.303043568909,0.279457821927,0.170763331626,0.234679340559,0.206478129917,0.182509306453,0.27807878646,0.236933976586,0.2614401869,0.243747945247,0.332978715872,0.187650153196,0.267982558016,0.139622041077,0.229695513399,0.238777600449,0.426813084944,0.326705194082,0.250150467821,0.249798318405,0.00876853886699,0.0989116180431
/Entertainment/Games/Browser games,0.513292915376,0.430969662999,0.637176020393,0.647958142322,0.342198221496,0.60298744442,0.42361764571,0.641002111077,0.66891475431,0.691199511055,0.084454040746,0.215299403172,0.403321795988,0.324742380418,0.28223531364,0.334869372108,0.284154706421,0.405241771209,0.372218057529,0.237029863798,0.34724308062,0.266907501947,0.362210605041,0.345389159722,0.221443342148,0.309091446654,0.256253504856,0.243025246907,0.34131417515,0.314775629754,0.326075629325,0.31968968131,0.392296272211,0.228506225425,0.257642074113,0.188641715597,0.276459639093,0.270383359932,0.522985806645,0.394069362654,0.303917253521,0.297073409655,0.064371355753,0.120413817428
/Entertainment/Games/Card games,0.502169916639,0.39729713402,0.633585515275,0.640919548731,0.307295396381,0.605792312581,0.398628476685,0.633450787512,0.667355814086,0.69423706493,0.0781996168767,0.200108339939,0.394673107128,0.321291282741,0.266453334788,0.32835060608,0.281055664424,0.391888765299,0.374559043006,0.216000739957,0.338928673818,0.233664844042,0.342872675356,0.327079817366,0.191420145979,0.282544426116,0.229410873337,0.222652857625,0.321837817324,0.296452564325,0.3061670511,0.289127966461,0.377908401599,0.20011043318,0.253661848508,0.188711392915,0.282198703751,0.269375826916,0.517286186445,0.391594826789,0.313464031022,0.307195749245,0.0385056216423,0.126638108864
/Entertainment/Games/Casino games,0.468148861103,0.349160075692,0.576463808494,0.586413952171,0.255021640569,0.577494169307,0.358650282361,0.573895376594,0.612311053976,0.66219534252,0.109022138583,0.227953599781,0.397328410802,0.332512009389,0.281355304165,0.339377703536,0.292492920077,0.397978546996,0.396256020143,0.247006399259,0.362940096908,0.25678369718,0.354869346484,0.344246085055,0.215227084231,0.303902960688,0.270600059536,0.250922155181,0.337180665221,0.301186125443,0.333082092817,0.282492352498,0.382476479709,0.25687219624,0.2834580005,0.224197295847,0.291279400612,0.290126524973,0.498746223882,0.402637963864,0.330437129647,0.322511060186,0.0476052589008,0.150040696033
/Entertainment/Games/First-person shooter games,0.469307497408,0.422770265119,0.649119753138,0.640878957699,0.324985664397,0.612795056979,0.421560800962,0.627887689757,0.730069283509,0.676700710042,0.107804195509,0.234429969426,0.424501887801,0.333469668196,0.305521569001,0.355595917951,0.30010688667,0.389353889138,0.389445805175,0.237071118016,0.347302221348,0.255619069549,0.364165435728,0.332772600543,0.2050656031,0.290866947803,0.253642830267,0.237951206634,0.328591712455,0.325945427722,0.315464878281,0.316023599857,0.39239032851,0.198130037188,0.231761367307,0.183747661138,0.275076376487,0.281238668336,0.514074175947,0.359950237815,0.292403356781,0.287135188246,0.0782588192085,0.168940901319
/Entertainment/Games/Gambling,0.463132647664,0.398722988639,0.56159758123,0.570578488562,0.362217702109,0.573725861434,0.414667083044,0.564038757839,0.583593556423,0.638912257227,0.138268723259,0.25394435135,0.416709507647,0.357532696235,0.316375596957,0.358825555778,0.322266711998,0.413503406711,0.384425602992,0.277648187649,0.357881333092,0.28816265105,0.375844244676,0.359420846062,0.256132172287,0.314846395149,0.28679860276,0.281242487611,0.353730953264,0.330133646421,0.338570628188,0.308247474618,0.387221189408,0.325239248729,0.294806278374,0.262453644253,0.331404961168,0.350647282886,0.506824111493,0.426790886656,0.36541782802,0.359183189298,0.0973314530436,0.206785974714
/Entertainment/Games/Massively multiplayer online games,0.491176616553,0.517356867425,0.65995984072,0.694855621328,0.453307396322,0.610285336965,0.515149689965,0.680587958023,0.683731564499,0.703512397114,0.108180646734,0.199240017146,0.412715629638,0.305761516014,0.256910005303,0.323914423848,0.27341187887,0.423233155607,0.366289819274,0.223032818423,0.310403068367,0.27404315262,0.341317908862,0.335795920803,0.235200517614,0.319173650109,0.254561673926,0.230646704136,0.323230933792,0.307826501387,0.308203473782,0.310772766631,0.38664402179,0.266160196576,0.311253710719,0.188795383366,0.294712540185,0.260188546704,0.509119906213,0.424687902213,0.298381133383,0.299585043344,0.0790649033825,0.128168871327
